ind,Pycnonotus_cafer,Pycnonotus_luteolus,Prinia_socialis,Saxicoloides_fulicatus,Leptocoma_zeylonica,Turdoides_affinis,Orthotomus_sutorius,Dicaeum_erythrorhynchos
LANC01,0.026829268292682926,0,0,0,0,0,0,0
LANC02,0.05365853658536585,0.05365853658536585,0.026829268292682926,0.026829268292682926,0,0,0,0
LANC05,0.08048780487804878,0,0,0,0.026829268292682926,0,0,0
LANC06,0,0,0,0,0,0.4146341463414634,0.048780487804878044,0
LANC07,0,0,0,0,0.1073170731707317,0,0.026829268292682926,0.026829268292682926
LANC13,0.026829268292682926,0,0,0,0,0,0,0
LANC14,0.026829268292682926,0.026829268292682926,0,0,0,0,0,0
