ind,Elaenia_cristata,Elaenia_chiriquensis,Elaenia_obscura,Camptostoma_obsoletum,Schistochlamys_ruficapillus,Saltatricula_atricollis,Tangara_cayana,Mimus_saturninus,Zonotrichia_capensis
Mi1,0.017408604824670482,0,0,0,0.024869435463814975,0,0,0,0
Mi3,0.00994777418552599,0,0,0.0074608306391444924,0.004973887092762995,0,0,0.0024869435463814975,0
Mi4,0.027605073364834618,0.012434717731907487,0,0.004973887092762995,0.0024869435463814975,0,0,0.004973887092762995,0
Mi5,0.083063914449142,0,0,0,0.02511812981845312,0,0,0,0.012683412086545635
Mi6,0.02511812981845312,0.014921661278288985,0,0.0074608306391444924,0.014921661278288985,0.0074608306391444924,0.00994777418552599,0.0024869435463814975,0.02014424272569013
Mi7,0.004973887092762995,0.0074608306391444924,0,0.00994777418552599,0,0,0,0,0.0074608306391444924
Mi8,0.014921661278288985,0,0,0,0,0.012434717731907487,0.0074608306391444924,0.004973887092762995,0.0024869435463814975
Mi10,0.022631186272071627,0,0,0.012683412086545635,0.00994777418552599,0.017657299179308632,0,0.03282765481223576,0.00994777418552599
Mi12,0.00994777418552599,0,0,0.0074608306391444924,0.0074608306391444924,0,0,0,0
Mi14,0.08182044267595126,0.004973887092762995,0.0024869435463814975,0,0.02984332255657797,0,0,0,0.004973887092762995
Mi17,0.020392937080328275,0.007709524993782642,0,0.0024869435463814975,0.022879880626709773,0,0.012683412086545635,0.012683412086545635,0
Mi18,0.01989554837105198,0.0074608306391444924,0,0,0,0,0,0,0.01989554837105198
Mi20,0.03730415319572246,0,0,0,0.13429495150460086,0,0,0,0
Mi21,0,0,0,0,0,0,0,0.012683412086545635,0.0024869435463814975
Mi23,0.017408604824670482,0,0,0,0,0,0,0,0
