ind,Turdus_albicollis,Tachyphonus_coronatus,Turdus_flavipes,Procnias_nudicollis,Turdus_rufiventris,Trogon_viridis,Cyanocorax_caeruleus,Pyroderus_scutatus,Pitangus_sulphuratus
R02,0.030534351145038167,0,0,0,0,0,0,0,0
R05,0,0.007633587786259542,0,0,0,0,0,0,0
R06,0,0,0.030534351145038167,0,0,0,0,0,0
R09,0,0,0,0.11450381679389313,0.015267175572519083,0,0,0,0
R10,0,0,0.015267175572519083,0.030534351145038167,0,0,0,0,0
R11,0,0,0.022900763358778626,0,0,0.007633587786259542,0,0,0
R12,0,0,0.022900763358778626,0.08396946564885496,0,0.007633587786259542,0,0,0
R14,0,0,0,0,0,0,0.04580152671755725,0,0
R17,0.08396946564885496,0,0,0.09923664122137404,0.022900763358778626,0,0.030534351145038167,0,0
R18,0.061068702290076333,0,0,0,0,0,0,0.022900763358778626,0.007633587786259542
R19,0.015267175572519083,0,0.015267175572519083,0,0.015267175572519083,0,0,0,0
R23,0.030534351145038167,0,0,0,0,0,0,0,0
R24,0.015267175572519083,0,0,0,0,0,0,0,0
R26,0.03816793893129771,0,0,0,0,0,0,0,0
R29,0.022900763358778626,0,0,0,0,0.04580152671755725,0,0,0
R30,0,0,0.007633587786259542,0,0,0,0,0,0
R31,0,0,0.015267175572519083,0,0,0.015267175572519083,0,0,0
