ind,Acridotheres_fuscus,Buceros_bicornis,Corvus_macrorhynchos,Dendrocitta_leucogastra,Ducula_badia,Funambulus_sublineatus,Geokichla_citrina,Gracula_indica,Hypsipetes_ganeesa,Iole_indica,Irena_puella,Myophonus_horsfieldii,Ocyceros_griseus,Oriolus_kundoo,Psilopogon_viridis,Pycnonotus_jocosus,Ratufa_indica,Rubigula_gularis,Semnopithecus_johnii,Sturnia_blythii,Turdus_simillimus
PEMA01,0,0,0,0,0,0,0,0.004005481597428087,0,0,3.641346906752806e-4,0,7.282693813505612e-4,0,0.0032772122160775255,0,0,0,0,0,0
PEMA02,0,0,0,0,0,0,0,0.0047800091316657365,3.676930101281335e-4,7.35386020256267e-4,0,0,7.35386020256267e-4,0,0.0025738510708969344,0,0,0,0,0,0
PEMA03,0,0,0,0,0,0,0,3.5835477495027617e-4,0.0014334190998011047,0,0,0,0,0,0,0,3.5835477495027617e-4,0,0,0,0
PEMA04,0,0,0,0,0,0,0,0.0016068577097414518,0,0,0,0,4.0171442743536294e-4,0,0,0,0,0,0,0,0
PEMA05,0,0,0,0,0,0,0,0.01292020077155062,0,0,0,0,3.400052834618584e-4,0,0.007820121519622743,0.00204003170077115,0,0,0,0,0.00204003170077115
PEMA06,0,0,0,0,0,0,0,7.426431191403749e-4,0,0,0,0,0,0,0.00742643119140375,0.0033418940361316877,0,0,0,0,0
PEMA07,0,0,0,0,0,0,0,0.0015295630638121544,0,0,0,0,6.118252255248618e-4,0,0.0012236504510497236,0,0,0,0,0,0
PEMA08,0,0,0,0,0,0,0,7.5254502739558e-4,0,7.5254502739558e-4,0,0,0.00112881754109337,0,0.00714917776025801,0,0,0,0,0,0
PEMA09,0,0,0,0.0014804164473355673,0,0,0.003701041118338918,0.013323748026020106,0,0.0270176001638741,0.001850520559169459,0.0011103123355016755,3.701041118338918e-4,0.005921665789342269,0.015544372697023455,0.02627739194020632,0,7.402082236677836e-4,0,0.00814229046034562,0.002590728782837243
PEMA10,0,0,0,0,0.0018061080657493919,0,0,0.006772905246560219,0,9.030540328746959e-4,4.5152701643734797e-4,0,0,0,0.0049667971808108275,9.030540328746959e-4,0,0,0,4.5152701643734797e-4,0
PEMA11,0,0,0,3.641346906752806e-4,0,0,7.282693813505612e-4,3.641346906752806e-4,0,0.0047337509787786485,3.641346906752806e-4,0,0,0,0.0029130775254022447,0,7.282693813505612e-4,0,0,0,0
PEMA12,0,0,0,0,0,0,0,0.0016419164234085383,0,0.003694311952669211,4.1047910585213456e-4,0,0,0,0.003694311952669211,0,4.1047910585213456e-4,4.1047910585213456e-4,0,0,0
PEMA13,0,0,0,0,0,0,0,0.00263390759588453,0,0.022952623335565192,3.7627251369779e-4,0,7.5254502739558e-4,0,3.7627251369779e-4,0,0,0,0,3.7627251369779e-4,0
PEMA14,0,0,0,0.0017501047148734418,4.3752617871836046e-4,0,4.3752617871836046e-4,0.0013125785361550813,0,0.02056373039976294,0.0017501047148734418,0,8.750523574367209e-4,0,0.004812787965901965,0.027564149259256706,0,0.006125366502057046,0,0.0026251570723101626,0
PEMA15,0,0,0,0,0,0,0.0011103123355016755,0.005181457565674486,0,0.08586415394546291,0,7.402082236677836e-4,0.001850520559169459,0,0.010733019243182864,3.701041118338918e-4,0,3.701041118338918e-4,0,3.701041118338918e-4,0
PEMA16,0,0,0,0.0016359674508599567,0.001090644967239971,0,0,0.011451772156019696,0,0.008179837254299781,0.004907902352579869,0,0.001090644967239971,0,0.031628704049959155,0.004907902352579869,0,0.002181289934479942,0,0.02181289934479942,0
PEMA17,0,3.664992016536915e-4,0,0,0,0,0,0.008429481638034905,7.32998403307383e-4,0,0,0,0.0010994976049610746,0,0.01979095688929934,7.32998403307383e-4,7.32998403307383e-4,0,0,0,0
PEMA18,0,0,0,0,0,5.250314144620325e-4,5.250314144620325e-4,0.0036752199012342274,0,0.0015750942433860975,0,0.0015750942433860975,5.250314144620325e-4,0,0.00787547121693049,0,5.250314144620325e-4,0,0,0,0
PEMA19,0,0,0,0,0,0,0,0.0018813625684889498,0.004233065779100137,0.004703406421222375,0,0,0,0,4.7034064212223746e-4,0.002822043852733425,0,0,0.004703406421222375,0,0
PEMA20,0,0,0,0,0,0,3.6064458181896803e-4,0,0.007934180800017296,0.007573536218198328,3.6064458181896803e-4,0,3.6064458181896803e-4,0,0.0010819337454569039,0,0.0010819337454569039,0,0,0,0
PEMA21,0,0,0,0,0,0,0,0,9.406812842444749e-4,0,0,0,0,0,0,0,0,0,0,0,0
PEMA22,0,0,0,0,0,0,7.377892425446864e-4,0.0055334193190851476,0,0.008484576289263893,0,3.688946212723432e-4,0,0,0.0014755784850893727,0.020658098791251217,0,0,0,0.0011066838638170296,0
PEMA23,0,0,0.0013385188234308735,0,0,0.0013385188234308735,0,0.008031112940585242,0,0.0017846917645744978,0.0013385188234308735,0.0013385188234308735,8.923458822872489e-4,0,0.015169879998883232,0.06871063293611816,4.4617294114362446e-4,8.923458822872489e-4,0,0.04506346705550607,0
PEMA24,0,0,0,0,0,0,0.0013332490642835077,0.00622182896665637,0,0.019554319609491447,0,4.444163547611693e-4,0,0,0.018665486899969108,0.005332996257134031,0,0,0.004444163547611692,0.001777665419044677,0
PEMA25,0,0,0,0,0,0,0,0,0,0.004843111562446802,0,0,0,0,3.7254704326513863e-4,0,0,3.7254704326513863e-4,0,0,0
PEMA26,0,0,0,0,0,0,0,0,0,0.0010750643248508285,0,0,0,0,0,0,0,0,0,0,0
PEMA27,0,0,0,0,0,0,0,0,0,0.0016125964872762428,0,0,0,0,0.0010750643248508285,0,0,0,0,0,0
PEMA28,0,0,0,0,0,0,0,0,0,0.01862735216325693,0,0,0,0,7.450940865302773e-4,0,0,0,0,0,0
PEMA29,0,0,0,0,0,4.6263013979236476e-4,0.001850520559169459,0.003701041118338918,0,0.04163671258131283,0,4.6263013979236476e-4,0,0,0.001850520559169459,0,0.0013878904193770942,0.003701041118338918,0,0,0
PEMA30,0,0,0,0,0,0,0,0,0.001354581049312044,0.0031606891150614356,0,0,0,0,0,0,0,0,0,0,0
PEMA31,0,0,0,0,0,0,3.7627251369779e-4,0.00301018010958232,0,0,0,0.00602036021916464,0.00150509005479116,0,0.02031871573968066,0,3.7627251369779e-4,0,0,0,0
PEMA32,0.00602036021916464,0,0,0,0,0,0,0.0037627251369778997,0.00225763508218674,0.02182380579447182,0,7.5254502739558e-4,0,0,3.7627251369779e-4,0.007525450273955799,0,0,0,0,3.7627251369779e-4
