ind,Leptocoma_zeylonica,Pycnonotus_luteolus,Pycnonotus_cafer,Dicaeum_erythrorhynchos,Pycnonotus_jocosus,Turdoides_affinis,TSPS
BRER01,0.0320855614973262,0.0481283422459893,0,0,0,0,0
BRER06,0,0.08021390374331551,0.13368983957219252,0,0,0,0
BRER07,0,0.08021390374331551,0.0481283422459893,0.0641711229946524,0.0160427807486631,0.0160427807486631,0
BRER08,0,0,0,0,0,0,0.0641711229946524
BRER09,0,0,0,0.0160427807486631,0,0,0.0160427807486631
BRER10,0,0.0320855614973262,0.0160427807486631,0.0160427807486631,0,0.0160427807486631,0.0160427807486631
BRER11,0,0,0.0160427807486631,0.0160427807486631,0,0,0.0160427807486631
BRER12,0,0.0160427807486631,0.0160427807486631,0.0320855614973262,0,0,0.0160427807486631
BRER13,0,0.07130124777183601,0.017825311942959002,0.035650623885918005,0,0,0.035650623885918005
