ind,Pycnonotus_cafer,Pycnonotus_luteolus,Dicaeum_erythrorhynchos,Pycnonotus_jocosus,Spilopelia_senegalensis,Leptocoma_zeylonica,TSPS,Turdoides_affinis,Aegithina_tiphia
PLEP01,0.022281811508791625,0.06684543452637488,0,0,0,0,0,0,0
PLEP03,0.013369086905274977,0.013369086905274977,0,0,0,0,0,0,0
PLEP04,0.04456362301758325,0.00891272460351665,0,0,0,0,0,0,0
PLEP05,0.022281811508791625,0,0,0,0,0,0,0,0
PLEP06,0,0,0.0074272705029305415,0,0,0,0,0,0
PLEP07,0,0.022281811508791625,0.026738173810549954,0.05347634762109991,0.004456362301758325,0.004456362301758325,0,0,0
PLEP08,0.03875097653702892,0.0339071044699003,0.1937548826851446,0.014531616201385843,0,0.01937548826851446,0.029063232402771685,0.014531616201385843,0
PLEP09,0.0178254492070333,0.022281811508791625,0.013369086905274977,0,0,0.004456362301758325,0,0,0.004456362301758325
PLEP10,0.1328338763024116,0.021424818758453486,0.02570978251014418,0,0,0,0.008569927503381394,0,0
PLEP12,0.05013407589478116,0.03899317014038534,0.005570452877197906,0,0,0,0,0,0
