ind,Cervus_elaphus,Sus_scrofa,Oryctolagus_cuniculus,Rattus_sp,Vulpes_vulpes,Meles_meles
ER002H,0.009498350585826414,0.004720737117506541,0.004720737117506541,0,0,0
ER007H,0.018939824820839495,0.009498350585826414,0.009498350585826414,0,0,0.004720737117506541
ER028H,0.004720737117506541,0,0,0,0.004720737117506541,0
ER033H,0.014219087703332954,0,0,0,0.004720737117506541,0
ER036H,0.05687635081333182,0.009498350585826414,0,0,0,0.004720737117506541
ER037H,0,0.009498350585826414,0,0.009498350585826414,0,0
ER044H,0.018939824820839495,0.004720737117506541,0,0.004720737117506541,0,0
ER045H,0.0473780002275054,0.004720737117506541,0,0,0,0
ER047H,0.009498350585826414,0.004720737117506541,0,0,0,0
ER050H,0.009498350585826414,0.004720737117506541,0,0,0,0
ER052X,0.01592537822773291,7.962689113866454e-4,7.962689113866454e-4,7.962689113866454e-4,7.962689113866454e-4,7.962689113866454e-4
ER053H,0.004720737117506541,0,0,0,0,0
ER061H,0.0473780002275054,0,0,0,0,0.009498350585826414
ER067H,0.02843817540666591,0,0.014219087703332954,0,0.009498350585826414,0.014219087703332954
ER070H,0.018939824820839495,0,0.04265726310999886,0,0.009498350585826414,0
ER071M-H,0.012967807985439655,0.001592537822773291,0.001592537822773291,0.001592537822773291,0.001592537822773291,0.001592537822773291
ER072H,0.020646115345239448,7.962689113866454e-4,7.962689113866454e-4,7.962689113866454e-4,7.962689113866454e-4,7.962689113866454e-4
ER073H,0.04908429075190535,7.962689113866454e-4,7.962689113866454e-4,7.962689113866454e-4,7.962689113866454e-4,7.962689113866454e-4
ER074M-H,0.03315891252417245,0,0,0,0,0
ER079H,0.052155613695825276,0.009498350585826414,0.0473780002275054,0,0,0.009498350585826414
ER080H,0.052155613695825276,0.023717438289159367,0.05687635081333182,0.004720737117506541,0,0.014219087703332954
ER085H,0.023717438289159367,0,0,0,0,0
ER086H,0.018939824820839495,0,0,0,0,0
ER090H,0.04265726310999886,0,0.004720737117506541,0,0,0
