ind,Dicaeum_erythrorhynchos,Pycnonotus_cafer,Megalaima_haemacephala,Pycnonotus_luteolus,Psittacula_krameri,Pycnonotus_jocosus,Turdoides_affinis,Orthotomus_sutorius
FLUL02,5,1.5,2,0,0,0,0,0
FLUL03,0.5,0,0,0.5,0,0,0,0
FLUL05,0.5,0,0,1,0.5,0,0,0
FLUL06,0,0,0,0,0,1,0,0
FLUL07,3,0,0,3,0,0,1.5,0
FLUL09,1.6666666666666667,0,0,0,0,0,0,0
FLUL10,1,0,0,1,0,0,1,0
FLUL11,1,0,0,0,0,0,0,0.5
FLUL14,0.4347826086956522,0,0,0.4347826086956522,0,0,0,0
FLUL15,0,0.9090909090909091,0,2.2727272727272725,0,0,0,0
