ind,x,y,se_bc_days,se_bc_area,fruit_type,fruit_color,seeds_per_fruit
pang011,-6.47214001044631,37.0304999593645,57,0.22,drupe,purple,1
pang012,-6.47243002429604,37.0303599815815,57,0.22,drupe,purple,1
pang013,-6.47244997322559,37.030340032652,44,0.22,drupe,purple,1
pang014,-6.47257000207901,37.0305899810045,57,0.22,drupe,purple,1
pang015,-6.47293000482022,37.0307000353932,70,0.22,drupe,purple,1
pang016,-6.47289002314209,37.0305299665778,85,0.22,drupe,purple,1
pang017,-6.47277996875345,37.0304500032216,57,0.22,drupe,purple,1
pang018,-6.47211997769773,37.0302400365471,85,0.22,drupe,purple,1
pang019,-6.47234000265598,37.0302400365471,44,0.22,drupe,purple,1
pang020,-6.47240999154746,37.0302400365471,57,0.22,drupe,purple,1
