ind;n_inf;canopy_cover_m2;crop;nearest_neigh;neigh_density_intra;neigh_radio;fruit_type;fruit_color;se_obs_days
ER002H;12;1.7592904;216;1.71;4;42;drupe;brown;12
ER007H;33;7.0690144;1188;19.73;1;42;drupe;brown;12
ER028H;68;6.9429139;3740;14.562;2;42;drupe;brown;12
ER033H;70;15.9181175;2520;12.572;3;42;drupe;brown;12
ER036H;11;14.81259685;1122;7.846;2;42;drupe;brown;12
ER037H;296;24.8424176;11248;14.19;2;42;drupe;brown;12
ER044H;66;12.39764688;2706;1.609;4;42;drupe;brown;12
ER045H;44;10.9760774;3784;8.066;8;42;drupe;brown;12
ER047H;69;12.3995367;1863;1.184;16;42;drupe;brown;12
ER050H;50;10.0650163;2200;0.01;15;42;drupe;brown;12
ER052X;68;17.6893362;1020;0.01;10;42;drupe;brown;12
ER053H;54;12.8707752;2916;5.667;4;42;drupe;brown;12
ER061H;14;6.7858344;182;9.773;2;42;drupe;brown;12
ER067H;24;7.3513206;648;9.365;5;42;drupe;brown;12
ER070H;30;4.398226;930;10.208;2;42;drupe;brown;12
ER071M-H;12;6.4088436;504;4.662;5;42;drupe;brown;12
ER072H;133;9.3955386;9443;3.01;5;42;drupe;brown;12
ER073H;12;16.5583638;1080;12.776;2;42;drupe;brown;12
ER074M-H;138;10.7150064;6210;10.485;7;42;drupe;brown;12
ER079H;22;5.1836235;440;14.607;7;42;drupe;brown;12
ER080H;34;7.74401935;1802;18.798;2;42;drupe;brown;12
ER085H;131;20.371616;12183;27.551;1;42;drupe;brown;12
ER086H;128;17.805256;13312;6.857;2;42;drupe;brown;12
ER090H;51;3.7287483;867;40.859;1;42;drupe;brown;12
