ind,canopy_cover_m2,height_cm,crop,x,y,fruit_d1_mm,fruit_d2_mm,fruit_mass_mg,fruit_type,fruit_color,seeds_per_fruit,se_bc_area,se_per_bc_cover,se_cam_h
301,19.68948,180,14325,-6.4464353,36.9660322,5.252666666666666,4.652666666666667,59.60666666666667,drupe,black,1,0.22,0.011173479441813598,18.600555555555555
302,28.93158,390,19750,-6.4466999,36.9661981,6.164,5.287333333333334,68.65333333333334,drupe,black,1,0.22,0.00760414744027115,19.526944444444442
303,19.96076,225,20925,-6.4457887,36.9657444,4.192666666666667,3.6743333333333332,26.166666666666668,drupe,black,1,0.22,0.011021624427126021,19.75138888888889
304,19.71761,345,54850,-6.4457236,36.9655828,5.297333333333334,4.668,48.370000000000005,drupe,black,1,0.44,0.022315077740152078,18.864722222222223
305,13.88528,222,18540,-6.4455794,36.9656368,4.523666666666667,3.973,27.993333333333332,drupe,black,1,0.22,0.01584411693534448,18.8525
306,13.12043,278,31837,-6.4452676,36.9656848,5.389666666666667,4.7956666666666665,55.01,drupe,black,1,0.22,0.016767743130369963,19.785555555555558
307,12.57142,248,3720,-6.4454177,36.9658618,5.183,4.603,42.39666666666667,drupe,black,1,0.22,0.017500011931826317,20.01527777777778
308,17.03836,251,13030,-6.4453657,36.9657131,5.2666666666666675,4.6146666666666665,30.10344827586207,drupe,black,1,0.22,0.012912040830220748,18.28527777777778
309,15.13513,222,12726,-6.445279,36.9655276,5.203214285714286,4.585714285714285,36.24285714285714,drupe,black,1,0.22,0.014535719217476163,18.748055555555556
310,10.74001,284,21650,-6.445324,36.9653638,5.15,4.531333333333333,39.336363636363636,drupe,black,1,0.22,0.020484152249392693,19.640555555555554
311,13.7794,186,6190,-6.4454804,36.9653452,5.1739999999999995,4.487,39.489999999999995,drupe,black,1,0.22,0.015965862083980435,17.921388888888888
312,13.41497,350,3475,-6.445677,36.9646322,5.009,4.375,38.99,drupe,black,1,0.22,0.016399589413915946,19.621666666666666
313,12.11637,156,19105,-6.446062,36.9647111,6.0809999999999995,5.339666666666667,73.18333333333334,drupe,black,1,0.22,0.018157253368789497,19.28472222222222
314,67.85248,284,30140,-6.4462849,36.9644358,4.8646666666666665,4.188,32.7,drupe,black,1,0.44,0.006484656124580855,20.1875
315,18.6718,320,48900,-6.4460781,36.9643791,5.811,4.634333333333334,44.85333333333334,drupe,black,1,0.22,0.011782474105335318,19.214722222222225
316,13.9628,148,30380,-6.4462629,36.9647623,5.255333333333333,4.595000000000001,47.09666666666667,drupe,black,1,0.22,0.015756152061191166,19.97361111111111
317,14.98551,180,43860,-6.4457802,36.9650922,5.765714285714285,5.1171428571428565,63.22857142857143,drupe,black,1,0.22,0.014680848366188406,19.76888888888889
318,17.37802,241,52675,-6.4456448,36.9652256,4.987666666666667,4.3213333333333335,40.72,drupe,black,1,0.22,0.012659670088997481,20.180555555555557
319,7.31393,267,13560,-6.445606,36.965501,4.9364,4.3314,37.6390243902439,drupe,black,1,0.22,0.03007958785495623,18.435555555555556
320,29.71722,260,18100,-6.446655,36.965437,5.8795,5.11575,55.875,drupe,black,1,0.44,0.014806230192460803,19.880277777777778
321,52.39914,235,118650,-6.4468212,36.9652785,6.4009375,5.44125,58.675,drupe,black,1,0.22,0.0041985421898145655,18.006944444444446
322,6.20513,179,8275,-6.4466821,36.9651221,6,4.862682926829268,40.30975609756098,drupe,black,1,0.22,0.03545453519910139,17.930833333333332
323,12.46965,203,13884,-6.4459763,36.9650225,5.5023333333333335,4.811333333333334,47.903333333333336,drupe,black,1,0.22,0.017642836807769263,20.30611111111111
324,19.7063,198,17000,-6.4463152,36.9652821,5.488139534883722,4.774651162790698,43.54222222222222,drupe,black,1,0.22,0.01116394249554711,20.03
325,5.169,151,5250,-6.4462464,36.9655517,5.172432432432432,4.260810810810811,35.49166666666667,drupe,black,1,0.22,0.042561423873089574,20.066111111111113
326,21.06973,380,35070,-6.4459194,36.9656001,5.053,4.5447500000000005,42.906666666666666,drupe,black,1,0.22,0.010441519658771138,19.43888888888889
327,9.23546,260,15500,-6.4458679,36.9652232,5.069047619047619,4.459761904761905,31.41162790697674,drupe,black,1,0.22,0.0238212281792136,20.140555555555554
329,20.20126,176,20179,-6.4455066,36.9649852,5.156428571428572,4.5789285714285715,41.65714285714286,drupe,black,1,0.22,0.010890409806121003,17.264166666666668
330,16.2929,206,8400,-6.445291,36.9650264,5.449347826086957,4.699130434782608,40.63478260869565,drupe,black,1,0.22,0.013502814109213217,19.15361111111111
331,24.40002,225,18195,-6.4455509,36.9647392,6.94575,6.1850000000000005,85.35681818181818,drupe,black,1,0.22,0.00901638605214258,18.621388888888887
332,13.95332,370,28775,-6.4457394,36.9652808,5.310333333333333,4.6306666666666665,46.69111111111111,drupe,black,1,0.22,0.015766856920073503,19.2475
334,17.59063,230,19245,-6.446223,36.9644299,4.969333333333333,4.354,38.32,drupe,black,1,0.22,0.012506658374373173,18.0225
335,21.23277,197,4690,-6.4461863,36.9647039,5.833125,4.9625,48.62857142857143,drupe,black,1,0.22,0.01036134239668211,18.71472222222222
336,31.94738,218,18600,-6.447233,36.96545,5.586666666666666,4.867666666666667,50.11333333333334,drupe,black,1,0.22,0.006886323698531774,19.229166666666668
337,36.76673,290,46110,-6.4474132,36.9654379,5.968064516129033,5.277096774193549,61.70645161290322,drupe,black,1,0.22,0.005983670563033481,20.183611111111112
338,26.84939,320,54880,-6.4465958,36.9647493,5.541320754716981,4.853018867924528,47.77142857142857,drupe,black,1,0.44,0.01638770936695396,19.2075
339,22.86502,164,4135,-6.4468479,36.9646794,4.788,4.176333333333334,33.35666666666667,drupe,black,1,0.22,0.009621684127107694,17.03333333333333
340,25.21435,259,23998,-6.446854,36.9649717,4.269354838709678,3.5735483870967744,21.78709677419355,drupe,black,1,0.22,0.008725190219061764,18.021944444444443
382,11.54874,165,11920,-6.4470845,36.964831,5.0046,4.3138,33.49818181818181,drupe,black,1,0.22,0.01904969719640411,18.585277777777776
383,21.07015,168,13125,-6.4454992,36.9648526,5.647666666666666,4.9816666666666665,54.14,drupe,black,1,0.22,0.010441311523648383,18.19
