ind,crop,neigh_inter,neigh_intra,se_obs_h,fruit_color,seeds_per_fruit
FLAS02,1190.4,Y,Y,2,black,1
FLAS03,2273.6,Y,N,2.5,black,1
FLAS04,669.6,Y,N,2,black,1
FLAS06,1219.2,Y,N,2,black,1
FLAS07,3888,Y,N,2,black,1
FLAS08,24964.8,Y,N,2.3,black,1
FLAS09,6636,Y,N,2,black,1
FLAS10,10276,Y,N,2,black,1
FLAS11,3164,Y,N,2,black,1
FLAS12,10848,Y,N,2,black,1
FLAS13,6440,Y,N,2,black,1
FLAS14,20706,Y,N,2,black,1
FLAS15,18424,Y,N,2,black,1
