ind,Chloris_chloris,Cyanistes_caeruleus,Erithacus_rubecula,Hippolais_polyglotta,Luscinia_megarhynchos,Phoenicurus_phoenicurus,Sylvia_communis,Sylvia_melanocephala,Sylvia_undata,Turdus_merula,Turdus_philomelos,Cyanopica_cooki,Fringilla_coelebs,Parus_major,Saxicola_rubicola,Sylvia_atricapilla,Sylvia_hortensis,Turdus_viscivorus,Ficedula_hypoleuca,Sturnus_unicolor,Sylvia_borin,Columba_palumbus,Pyrrhula_pyrrhula,Lanius_meridionalis,Muscicapa_striata,Sylvia_cantillans,Coccothraustes_coccothraustes
301,620.1294846093401,7.932530747946323,1456.1424872891953,2.7421430936088864,6.745869647428416,47.15727977103769,100.08686459271337,2228.202129718571,143.18578724180082,365.9361309774022,9.026546549039011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,708.4432610949514,13.367402715202811,997.4821330299301,0,123.41403034110847,59.55305753341033,0,2029.5330244463291,0,752.4217854940316,21.18820780764709,141.69484691089474,18.105073203994312,7.604446479802361,32.04722069276259,248.09228605687144,30.94127325711063,2.8418094478520395,0,0,0,0,0,0,0,0,0
303,1053.1714326978145,0,598.7954218472767,0,0,20.74383192610813,26.158673963638257,390.6163173793954,21.818708943258265,0,0,0,8.64205330128405,0,0,77.221014825975,11.785917687661103,0,0,0,0,0,0,0,0,0,0
304,1659.1381701426762,13.464180888978653,2599.7578054355185,6.67134998922233,24.758493903660877,474.77862728568294,79.43760950394099,4206.0552735687,95.74247687884424,2156.852548612311,0,61.163341497347055,84.56301655338876,22.126085391808573,22.502736456527813,373.1227469648071,117.51022930498064,0,25.271223264437964,66.768090540525,10.236357420374771,0,0,0,0,0,0
305,782.7789356175979,0,116.68992762550897,0,0,0,0,588.2061769301697,0,0,1.5449597476931822,0,0,0,0,52.142771841302334,0,0,0,0,0,0,0,0,0,0,0
306,712.1349710794877,4.673394299199054,820.3901478581968,0,0,0,32.93635083219609,1218.9239224634143,0,70.53951433795663,0,27.193979492803187,11.495414453278041,15.351815288040369,0,395.3334194280818,19.164512692725985,0,0,0,0,0,0,0,0,0,0
307,549.1125756237037,0,484.8338177593686,0,4.817860348038547,0,0,233.39490241857956,0,44.30583231082111,0,0,0,2.058086311443422,0,177.5780810340176,0,0,0,0,0,0,0,0,0,0,0
308,1098.5495081883082,0,1660.8981339723668,0,0,29.63943844719701,0,731.2422513500937,62.91361620541686,0,4.238061628885758,0,0,0,0,132.1421662838897,0,0,0,0,0,0,0,0,0,0,0
309,516.8927086881813,3.661484039058561,877.9296313540854,0,6.336431071027578,18.785834155211074,19.498625389230433,332.0893158828076,21.410510434123402,45.01564027283992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,636.749373323431,0,355.09488778261596,0,4.718003001975644,24.107695593615638,0,889.0709023364107,22.027601982421462,47.506908180958334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
311,289.2584928386318,0,269.6295565447984,1.096679658432663,0,0,0,735.2050138731654,18.68762954725325,39.6389439461713,0,0,0,0,0,44.68195910359511,0,0,0,0,1.4152277667968858,0,0,0,0,0,0
312,256.8966662963502,0,393.26687123992474,0,0,0,42.70968830156811,901.3250926817304,0,0,0,0,0,0,0,297.30829829296056,0,0,0,177.31391908013634,17.501823563803658,0,0,0,0,0,0
313,1280.192232605431,0,552.1421272512548,0,0,30.848442452948394,27.342512626844517,1086.8527118806846,36.42759788623394,79.55709071668292,0,0,0,0,24.26107409048998,87.34350369801811,0,0,0,0,0,0,0,0,0,0,0
314,2182.6993515495315,0,4027.0803325659886,0,36.27714516622057,187.55156750835545,82.79164167937685,4253.805902459564,117.96373888681426,625.4224412321289,0,0,25.828973210748607,8.84416621851964,59.421083705278676,818.5362602642394,83.1740720340922,0,19.88274351787461,351.4392815575359,20.746751903765094,71.67591808228082,11.692009141604178,0,0,0,0
315,1250.8434927611297,0,808.6981515604622,0,10.380051376419498,34.49953608296434,59.72376414406145,2072.7266710282975,0,101.48631275221734,0,0,0,0,0,122.07207334614907,0,0,0,32.44784853666545,0,0,0,14.275866278179981,0,0,0
316,268.95097842598284,0,253.46757528344773,0,0,0,0,517.2602034883025,15.436841609380064,0,0,0,4.273669389516989,0,6.133205764962829,0,0,0,0,0,0,0,0,0,0,0,0
317,344.7123769276232,0,238.7259846047935,0,0,0,0,969.2156471592336,0,41.9989632098482,0,0,0,0,0,53.63659342958302,0,0,0,0,0,0,0,0,0,0,0
318,5072.039761780512,0,1445.3172202235146,0,0,48.52873452010475,315.2390314227236,1563.0208317921338,0,537.4600325216953,0,0,37.84570690502686,0,0,203.67229929689336,0,0,0,0,0,0,0,0,1.9755668071769152,0,0
319,453.1475271912778,0,502.7350915042772,1.2735289201840878,0,45.29437592421931,0,864.5593911745559,39.12486902540543,0,4.4436535833667445,0,10.08363155553622,0,0,159.55142392080631,24.82842266415774,0,0,0,0,0,1.903295621582152,0,0,0,0
