ind,forest_500,x,y,altitude_m,crop,GBH,gbh2,se_obs_h,fruit_type,fruit_color,seeds_per_fruit,height_cm
PEMA01,0.127,10.349573,76.916515,1180.624023,600,215,N,5.166666666666667,Drupaceous ,blackish,1,2400
PEMA02,0.176,10.35091834,76.91794261,1195.246094,220,271,N,5.116666666666666,Drupaceous ,blackish,1,2200
PEMA03,0.954,10.31522543,76.8312283,982.833252,150,167,N,5.25,Drupaceous ,blackish,1,2600
PEMA04,0.843,10.34109492,76.966545,1130.328613,15,195,N,4.683333333333334,Drupaceous ,blackish,1,1600
PEMA05,0.007,10.30105641,76.90933624,1073.915283,20,169,N,5.533333333333333,Drupaceous ,blackish,1,1900
PEMA06,0,10.29946913,76.90402371,1079.685547,15,204,N,5.066666666666666,Drupaceous ,blackish,1,2500
PEMA07,0.86,10.31575274,76.8324472,1001.438293,30,214,N,6.15,Drupaceous ,blackish,1,2600
PEMA08,0.463,10.33878981,76.9631748,1129.820068,20,223,N,5,Drupaceous ,blackish,1,2600
PEMA09,1,10.416083,76.87628,697.162476,100,239,N,5.083333333333333,Drupaceous ,blackish,1,2000
PEMA10,1,10.41710151,76.87418262,673.846497,164,220,N,4.166666666666667,Drupaceous ,blackish,1,2100
PEMA11,1,10.41723269,76.87236534,695.739075,180,240,N,5.166666666666667,Drupaceous ,blackish,1,2700
PEMA12,1,10.41683539,76.8725567,719.831787,66,159,N,4.583333333333333,Drupaceous ,blackish,1,2300
PEMA13,1,10.41843751,76.87552247,657.75708,120,250,N,5,Drupaceous ,blackish,1,2700
PEMA14,1,10.41606886,76.87595766,699.586426,75,287,N,4.3,Drupaceous ,blackish,1,1700
PEMA15,1,10.41962933,76.87534226,626.715515,330,203,N,5.083333333333333,Drupaceous ,blackish,1,2300
PEMA16,1,10.417229,76.87415329,672.998657,219,286,N,3.45,Drupaceous ,blackish,1,2200
PEMA17,0.136,10.35962647,76.9297924,1043.79,456,175,N,5.133333333333334,Drupaceous ,blackish,1,2000
PEMA18,0.402,10.338751,76.962703,1139.697754,44,198,N,3.5833333333333335,Drupaceous ,blackish,1,2000
PEMA19,0.686,10.368139,76.993277,1296.502686,73,185,N,4,Drupaceous ,blackish,1,1500
PEMA20,0.874,10.370254,76.993708,1337.02832,120,216,N,5.216666666666667,Drupaceous ,blackish,1,2600
PEMA21,0.856,10.369942,76.993785,1360.726318,20,144,N,4,Drupaceous ,blackish,1,1800
PEMA22,1,10.40776617,76.87607006,710.24231,72,136,N,5.1,Drupaceous ,blackish,1,2200
PEMA23,1,10.404184,76.8769251,700.652405,80,255,N,4.216666666666667,Drupaceous ,blackish,1,2600
PEMA24,1,10.40769903,76.87520354,723.337891,60,175,161,4.233333333333333,Drupaceous ,blackish,1,3100
PEMA25,1,10.40770515,76.87677649,721.348877,10,174,N,5.05,Drupaceous ,blackish,1,2500
PEMA26,0.994,10.394788,76.871785,817.225769,5,109,N,3.5,Drupaceous ,blackish,1,1600
PEMA27,0.994,10.39468196,76.87173679,817.225769,5,165,N,3.5,Drupaceous ,blackish,1,1800
PEMA28,1,10.39960781,76.87393787,742.963318,10,143,N,5.05,Drupaceous ,blackish,1,2500
PEMA29,1,10.399603,76.873641,772.517456,30,144,N,4.066666666666666,Drupaceous ,blackish,1,1900
PEMA30,0.928,10.372005,76.993589,1367.172119,40,143,N,4.166666666666667,Drupaceous ,blackish,1,1700
PEMA31,0.453,10.33848329,76.96324303,1127.686279,60,213,N,5,Drupaceous ,blackish,1,3000
PEMA32,0.658,10.3682403,76.99232723,1269.222168,100,162,N,5,Drupaceous ,blackish,1,1800
