ind,crop,neigh_inter,neigh_intra,se_obs_h,fruit_color,seeds_per_fruit
ZIZO01,93758,Y,N,1.8,black,1
ZIZO02,306374,Y,N,2,black,1
ZIZO03,163548,Y,N,1.8,black,1
ZIZO04,175840,Y,N,2,black,1
ZIZO05,54846,Y,N,2,black,1
ZIZO06,76356,Y,N,2,black,1
ZIZO07,241584,Y,N,2.2,black,1
ZIZO08,37900.8,Y,N,2,black,1
ZIZO09,34260,Y,N,2,black,1
ZIZO10,304200,Y,N,2,black,1
ZIZO11,352170,Y,N,2,black,1
ZIZO12,20880,Y,N,2,black,1
ZIZO13,113904,Y,N,2,black,1
ZIZO14,43296,Y,N,2,black,1
ZIZO15,53152,Y,N,2,black,1
