ind,forest_500,x,y,altitude_m,crop,GBH,gbh2,se_obs_h,fruit_type,fruit_color,seeds_per_fruit,height_cm
CAST01,0.973,10.314388,76.830726,953.29,242,225,N,5,Drupaceous ,dark-blue,1-3,3100
CAST02,0.187,10.351326,76.936161,1056.844971,940,490,N,5,Drupaceous ,dark-blue,1-3,3000
CAST03,0,10.367031,76.937235,1085.93042,120,280,N,5,Drupaceous ,dark-blue,1-3,2300
CAST04,0.375,10.347321,76.93409,1115.218384,252,390,N,5,Drupaceous ,dark-blue,1-3,3200
CAST05,0.964,10.313665,76.830927,954.44043,220,270,N,5,Drupaceous ,dark-blue,1-3,3400
CAST06,0,10.365955,76.938029,1076.873047,1120,285,N,5,Drupaceous ,dark-blue,1-3,2800
CAST07,0.201,10.343269,76.903401,1062.516846,200,319,N,5,Drupaceous ,dark-blue,1-3,4000
CAST08,0.422,10.34816631,76.93220099,1033.769775,260,228,N,5,Drupaceous ,dark-blue,1-3,3600
CAST09,0,10.36524226,76.93678069,1044.721191,356,275,N,5.333333333333333,Drupaceous ,dark-blue,1-3,3500
CAST10,0.678,10.37711489,76.99207325,1265.21936,210,213,N,5.166666666666667,Drupaceous ,dark-blue,1-3,2600
CAST11,0.366,10.401223,76.991534,1252.701416,300,215,N,5.333333333333333,Drupaceous ,dark-blue,1-3,2000
CAST12,0.904,10.37242899,76.98615211,1095.28894,112,176,N,4.166666666666667,Drupaceous ,dark-blue,1-3,3700
CAST13,0.832,10.3649012,76.99827335,1384.91,45,91,N,4.166666666666667,Drupaceous ,dark-blue,1-3,2000
CAST14,0.366,10.35772964,76.92799537,994.94,200,148,N,4.166666666666667,Drupaceous ,dark-blue,1-3,2300
CAST15,0.777,10.36404608,76.99816832,1357.598022,220,147,N,4,Drupaceous ,dark-blue,1-3,3200
CAST16,0.517,10.34706208,76.89803618,979.105957,30,220,N,4.5,Drupaceous ,dark-blue,1-3,3000
CAST17,0.137,10.34994847,76.91674568,1179.299561,210,122,N,4.083333333333333,Drupaceous ,dark-blue,1-3,2100
CAST18,0.402,10.34842322,76.93261187,1025.538818,280,179,N,4.333333333333333,Drupaceous ,dark-blue,1-3,3200
CAST19,0.217,10.35453698,76.91597052,1114.977051,471,295,N,6.75,Drupaceous ,dark-blue,1-3,3700
CAST20,0.027,10.358681,76.933578,1010.082703,800,218,N,5.216666666666667,Drupaceous ,dark-blue,1-3,3000
CAST21,0.727,10.36570217,76.99682713,1348.158569,400,351,N,4.583333333333333,Drupaceous ,dark-blue,1-3,4000
CAST22,0.162,10.35414227,76.91635408,1142.243652,365,248,N,5,Drupaceous ,dark-blue,1-3,2500
CAST23,0.912,10.37099124,76.99324035,1329.03,1000,305,N,5.383333333333334,Drupaceous ,dark-blue,1-3,3100
CAST24,0.699,10.36008404,76.99823211,1268.97,1000,290,N,4.866666666666666,Drupaceous ,dark-blue,1-3,3300
CAST25,0.218,10.34254457,76.89992244,1087.748047,1200,242,N,4.25,Drupaceous ,dark-blue,1-3,2500
CAST26,0.562,10.35671242,76.91844285,1139.187012,500,227,N,5.083333333333333,Drupaceous ,dark-blue,1-3,4100
CAST27,0.472,10.35636188,76.91678784,1134.45874,300,232,N,4.333333333333333,Drupaceous ,dark-blue,1-3,3700
CAST28,0.622,10.35748087,76.91709353,1142.381714,242,234,N,5.083333333333333,Drupaceous ,dark-blue,1-3,3300
CAST29,0.42,10.290849,77.01235,1118.990723,688,285,N,5,Drupaceous ,dark-blue,1-3,2900
CAST30,0.636,10.292474,77.016464,1076.792847,800,350,N,4,Drupaceous ,dark-blue,1-3,3600
