ind,Pycnonotus_jocosus,Pycnonotus_cafer,Dicaeum_erythrorhynchos,Pycnonotus_luteolus,Leptocoma_zeylonica
FLAS02,0.5,0.5,0,0,0
FLAS03,0,0.4,0.8,1.6,0.4
FLAS04,0,0,0.5,0,0
FLAS06,0,0,1,1,0
FLAS07,0,0,0,0.5,0
FLAS08,0,0,0.4347826086956522,0,0.4347826086956522
FLAS09,0,0.5,0.5,0.5,0
FLAS10,0,1,0,1,0
FLAS11,0,0.5,0.5,0.5,0
FLAS12,0,1,0.5,0.5,0
FLAS13,0,0.5,0.5,1,0.5
FLAS14,0,1.5,0,0.5,0
FLAS15,0,1.5,0.5,1,0.5
