ind,forest_500,x,y,altitude_m,crop,GBH,gbh2,se_obs_h,fruit_type,fruit_color,seeds_per_fruit,height_cm
HETR01,0.436,10.310907,76.910447,1093.895996,180,109,N,5,Arillate,red,1,1600
HETR02,0.42,10.31063165,76.91057048,1099.98,520,143,N,5,Arillate,red,1,1400
HETR03,0.408,10.349208,76.930833,1027.31,500,178,N,3.75,Arillate,red,1,2400
HETR04,0,10.36795079,76.93855111,1069.62,500,143,N,5,Arillate,red,1,1800
HETR05,0.681,10.394738,76.992656,1310.6,90,86,N,4.116666666666666,Arillate,red,1,1400
HETR06,0.512,10.308744,76.902752,1041.21,170,165,N,5.2,Arillate,red,1,1400
HETR07,0.424,10.348858,76.930949,1025.37,192,280,N,5.166666666666667,Arillate,red,1,2000
HETR08,0.46,10.347825,76.898707,981.47,50,165,N,5.25,Arillate,red,1,2600
HETR09,0.401,10.349295,76.930707,1021.6,120,170,N,5.333333333333333,Arillate,red,1,2000
HETR10,0.854,10.37585526,76.98942985,1196.994751,500,164,N,5.833333333333333,Arillate,red,1,1800
HETR11,0.861,10.37579315,76.9894343,1198.958252,60,93,N,4,Arillate,red,1,1400
HETR12,0.383,10.34947825,76.93049602,1032.633789,152,135,N,5,Arillate,red,1,2000
HETR13,0.451,10.356157,76.917081,1130.841309,307,136,N,5.583333333333333,Arillate,red,1,2500
HETR14,0.097,10.35154388,76.91490853,1198.206299,340,126,N,4.316666666666666,Arillate,red,1,1700
HETR15,0.181,10.35897176,76.9295803,999.616577,270,98,N,5.883333333333334,Arillate,red,1,1700
HETR16,0.427,10.34864291,76.93062552,1030.776123,700,184,N,5.166666666666667,Arillate,red,1,2000
HETR17,0.915,10.375232,76.9889,1202.498413,20,124,N,4.333333333333333,Arillate,red,1,2100
HETR18,0.418,10.34869647,76.93027373,1045.226929,303,168,N,5.416666666666667,Arillate,red,1,2400
HETR19,0.413,10.34920374,76.93095602,1044.349609,150,165,N,4,Arillate,red,1,2400
HETR20,0.852,10.33928962,76.96636009,1121.798462,300,170,N,6,Arillate,red,1,2300
HETR21,0.775,10.340227,76.965242,1127.417969,143,172,N,4.083333333333333,Arillate,red,1,1500
HETR22,0.274,10.31344872,76.91191913,1123.242432,377,136,N,5.25,Arillate,red,1,1700
HETR23,0.006,10.302485,76.909864,1081.008179,817,140,N,4.5,Arillate,red,1,1400
HETR24,0.624,10.35722296,76.91855793,1147.897339,130,95,N,5.083333333333333,Arillate,red,1,1900
HETR25,0.371,10.34897458,76.93327722,1054.852417,401,195,N,5.75,Arillate,red,1,2500
HETR26,0.428,10.34856252,76.93137855,1043.757568,1080,179,N,4.033333333333333,Arillate,red,1,2500
HETR27,0.666,10.315309,76.835237,1011.753296,40,99,N,5.166666666666667,Arillate,red,1,1100
HETR28,0.773,10.30932181,76.83336544,888.745605,450,117,N,4.5,Arillate,red,1,1100
HETR29,0.001,10.303803,76.90975,1081.128296,663,146,N,5.416666666666667,Arillate,red,1,1400
HETR30,0.846,10.340537,76.966128,1111.609253,1900,125,N,4,Arillate,red,1,1500
HETR31,0.843,10.34101848,76.96645414,1129.046143,1052,137,N,5.166666666666667,Arillate,red,1,1700
HETR32,0.41,10.34699025,76.92948843,1013.448425,900,184,N,4.333333333333333,Arillate,red,1,1800
HETR33,0.638,10.35567968,76.89274284,800.491455,20,130,N,4.25,Arillate,red,1,2000
HETR34,0.857,10.34082871,76.96666352,1126.396851,402,118,N,4.033333333333333,Arillate,red,1,1300
HETR35,0.389,10.349334,76.930447,1024.038818,725,140,N,4.766666666666667,Arillate,red,1,2200
HETR36,0.816,10.33885846,76.96621324,1125.5979,600,131,N,4.166666666666667,Arillate,red,1,1400
