ind,Turdus_chiguanco,Turdus_amaurochalinus,Turdus_rufiventris,Pipraidea_bonariensis,Saltator_aurantiirostris,Patagioenas_maculosa,Myiopsitta_monachus
74,4,6,0,0,0,4,0
75,0,0,0,0,0,0,0
76,0,0,0,0,0,0,0
77,15,14,0,5,0,0,0
78,3,0,4,0,0,4,0
79,0,0,0,0,0,0,0
80,0,6,2,0,3,0,0
81,3,0,0,0,0,29,0
82,31,5,0,0,0,0,0
83,3,0,0,0,0,29,0
84,0,0,0,0,0,0,0
85,0,0,0,0,0,0,45
86,0,4,0,0,0,0,10
87,4,3,0,0,0,5,0
88,0,0,0,0,0,0,2
