ind,height_cm,crop,crop_ripe,n_infructescences,above_canopy_height_cm,canopy_openess,neigh_density_intra_10m,dist_nearest_fruiting_palm_m,dist_open_gap_in_50m,fruit_type,fruit_color,seeds_per_fruit,se_obs_h
P01,2000,1200,1200,1,2200,0.6,4,3,2,drupe,black,1,5
P02,1800,600,600,2,1900,1,3,5,0,drupe,black,1,5
P03,800,4000,2800,2,1000,0.85,4,3,1,drupe,black,1,5
P04,800,1170,1170,1,1000,0.95,4,2,2,drupe,black,1,5
P05,800,2550,2550,2,1000,1,4,2,0,drupe,black,1,5
P06,1700,1800,1800,1,1700,0.75,0,20,2,drupe,black,1,5
P07,1200,570,70,2,1300,0.8,1,8,2,drupe,black,1,5
P08,1300,2300,2300,1,1300,1,1,3,0,drupe,black,1,5
P09,1000,4800,2300,2,1200,0.45,2,3,50,drupe,black,1,5
P11,800,1030,30,2,2000,0.15,3,5,3,drupe,black,1,5
P12,700,600,150,2,2000,0.35,2,6,5,drupe,black,1,5
P13,900,700,700,1,2000,0.2,2,6,7,drupe,black,1,5
P15,600,370,150,2,1500,0.7,0,1,3,drupe,black,1,5
P17,900,380,380,2,1300,0.2,2,8,6,drupe,black,1,5
P18,900,350,100,2,1400,0.1,1,10,8,drupe,black,1,5
P19,800,500,150,2,900,0.9,1,8,1,drupe,black,1,5
P20,1300,570,420,2,1200,1,0,50,0,drupe,black,1,5
P21,800,420,30,2,1300,0.5,2,2,2,drupe,black,1,5
P22,1200,110,110,2,1300,1,3,2,0,drupe,black,1,5
P23,1300,80,80,1,1500,1,3,2,0,drupe,black,1,5
P24,800,600,600,1,1000,0.2,2,1,3,drupe,black,1,5
P25,1000,400,400,1,1000,0.9,2,1,1,drupe,black,1,5
P26,800,340,340,1,1200,0.1,1,10,5,drupe,black,1,5
P27,600,110,30,2,500,0.9,1,10,12,drupe,black,1,5
P28,700,350,350,1,900,0.3,0,20,10,drupe,black,1,5
P31,1500,2400,1100,2,1800,1,2,8,0,drupe,black,1,5
P32,700,330,110,2,900,0.85,1,4,0,drupe,black,1,5
P34,700,550,200,2,1000,0.5,0,50,1,drupe,black,1,5
P35,1000,280,180,2,1800,1,0,50,0,drupe,black,1,5
P36,1100,320,240,1,1800,0.9,1,7,0,drupe,black,1,5
