ind,Turdus_flavipes,Turdus_albicollis,Procnias_nudicollis,Ramphastos_vitellinus,Trogon_viridis,Cyanocorax_caeruleus,Pyroderus_scutatus
L01,1,4,0,0,0,0,0
L03,0,0,6,0,0,0,0
L04,0,2,0,0,0,0,0
L06,0,0,1,0,0,0,0
L08,0,8,0,0,0,0,0
L13,12,0,0,21,0,0,0
L15,0,5,0,0,0,0,0
L16,0,22,0,0,0,0,0
L23,17,0,0,0,0,0,0
L26,0,6,5,36,0,0,0
L27,0,11,1,46,1,0,0
L28,0,33,0,20,0,0,0
L29,0,8,0,35,0,5,0
L30,0,0,0,0,0,0,6
L33,0,1,0,0,0,0,0
