ind,area,canopy_cover_m2,height_cm,crop,d1_cm,d2_cm,x,y,fruit_d1_mm,fruit_d2_mm,fruit_mass_mg,seeds_per_fruit,total_seed_weight,one_seed_weight,pulp_weight,fruit_type,fruit_color,protein,fibre,lipids,ash,seed_viability,neigh_radio,neigh_fecundity_intra,neigh_density_intra,se_bc_days,se_bc_area,se_per_bc_cover,se_cam_days,se_per_cam_cover
M029,SABMAR,5.25,365,3226,610,470,370120841,-6533186,9.11,8.94,334.96,4.36,81.06,19.14,253.9,galbule,red_wine,1.69,25.12,3.33,9.13,8.53,5.65,3,9,414,0.5478,0.10434285709999999,84,60
M036,SABMAR,4.36,250,660,260,210,370121311,-653326,8.8,8.86,340.52,4.8,76.64,16.44,263.88,galbule,red_wine,1.31,23.76,1.24,22.19,23.68,5.65,2,8,414,0.5114,0.11729357800000001,90,60
M058,SABMAR,18,370,2301,578,495,370120941,-6533302,9.8,9.67,442.64,5.88,100.99,17.31,341.65,galbule,red_wine,2.04,24.22,3.04,3.38,29.43,5.65,3,8,414,0.52,0.02888888889,81,60
M065,SABMAR,0.71,225,503,190,140,370119321,-653274,8.58,8.16,304.22,4.63,83.63,19.16,220.6,galbule,red_wine,1.67,24.28,3.07,9.63,32.78,5.65,3,16,414,0.4952,0.6974647887000001,87,60
M087,SABMAR,7.95,385,802,360,240,370118961,-6532395,9.07,8.23,301.56,5.06,70.51,14.07,231.05,galbule,red_wine,1.68,17.6,1.55,11.61,23.38,5.65,3,11,414,0.4808,0.060477987420000004,78,60
M136,SABMAR,7,341,3227,409,327,370118491,-6532362,8.73,9.75,340.17,5.34,101.7,19.37,238.47,galbule,red_wine,1.88,20.77,3.48,20.86,23.63,5.65,4,9,414,0.5536,0.07908571429,93,60
M139,SABMAR,3.72,364,572,254,247,370118751,-653232,9.49,9.59,415.15,5.64,108.76,19.47,306.39,galbule,red_wine,NA,NA,NA,NA,25.8,5.65,3,18,414,0.525,0.1411290323,94,60
M144,SABMAR,1.95,326,702,341,237,370119281,-6532401,8.59,8.65,313.36,5.4,86.54,15.89,226.82,galbule,red_wine,NA,NA,NA,NA,24.12,5.65,3,19,414,0.7397,0.3793333333,85,60
M176,SABMAR,13.2,198,1412,530,465,370117171,-6532684,8.71,8.62,288.9,4.7,63.61,13.82,225.29,galbule,red_wine,1.68,20.73,2.84,5.55,16.2,5.65,3,8,414,0.5472,0.04145454545,81,60
M207,SABMAR,12.7,308,2350,483,403,370123111,-6533186,8.18,8.35,251.69,3.4,81.96,25.74,169.73,galbule,red_wine,1.52,20.89,2.75,11.96,19.55,5.65,3,21,414,0.4732,0.03725984252,68,60
M208,SABMAR,6.98,261,1483,403,268,370122051,-6533046,9.82,8.31,364.27,4.54,83.49,19.11,280.78,galbule,red_wine,1.86,28.37,1.84,4.22,24.04,5.65,3,20,414,0.516,0.07392550143,95,60
M215,SABMAR,25.3,273,5739,514,429,370116811,-6532589,8.43,8.03,271.01,4.72,66.7,14.47,204.31,galbule,red_wine,1.49,24.02,2.07,3.83,45.82,5.65,3,14,414,0.792,0.03130434783,87,40
M219,SABMAR,5.11,207,585,255,235,370120181,-6532336,8.57,9.25,296.29,3.97,77.6,20.09,218.69,galbule,red_wine,2.02,24.09,2.82,5.81,19.77,5.65,2,16,414,0.49,0.09589041096,84,60
M304,SABMAR,19.5,248,6455,575,510,370123631,-6532985,8.92,8.19,326.23,4.86,71.67,15.08,254.56,galbule,red_wine,1.88,24.48,1.97,11.79,13.2,5.65,3,7,414,0.53,0.027179487180000003,179,60
M315,SABMAR,4.52,270,5426,530,210,370123271,-6533031,8.3,8.42,280.74,5.26,63.47,12.11,217.27,galbule,red_wine,1.85,20.32,1.75,3.29,37.06,5.65,4,17,414,0.525,0.1161504425,85,60
M381,SABMAR,10.4,367,5736,278,297,370123811,-653277,8.9,8.77,367.08,4.66,91.22,20,275.86,galbule,red_wine,2.24,23.09,2.75,3.25,51.97,5.65,3,9,414,0.5532,0.053192307689999996,63,60
M457,SABMAR,17.7,312,6988,589,253,370123681,-6532686,9.88,9.05,422.23,5.56,114.69,20.84,307.54,galbule,red_wine,1.67,23.49,3.08,3.03,38.41,5.65,4,13,414,0.54,0.030508474579999997,76,60
M460,SABMAR,12.6,304,5920,334,332,370122641,-6532696,8.97,8.23,329.29,5.16,86.15,17.1,243.14,galbule,red_wine,2.63,22.51,3.28,18.6,25.35,5.65,4,13,414,0.5568,0.044190476189999994,81,60
M518,SABMAR,15.8,319,1180,426,345,370123701,-653262,8.43,8.35,290.59,4.6,85.55,18.55,205.04,galbule,red_wine,1.67,22.69,2.27,4.2,27.28,5.65,3,9,414,0.565,0.03575949367,66,60
M520,SABMAR,3.1,210,4489,305,250,370117561,-653248,8.18,7.96,278.85,3.66,55.28,15.77,223.57,galbule,red_wine,1.87,21.75,1.54,4.47,51.94,5.65,3,16,414,0.5408,0.17445161290000002,90,60
M531,SABMAR,8.92,192,675,317,228,370121851,-6532483,9.63,9.39,443.8,4.71,84.3,18.27,359.5,galbule,red_wine,1.32,25.29,2.34,3.55,34.27,5.65,2,12,414,0.501,0.056165919280000004,72,60
M541,SABMAR,7.92,220,4553,410,380,370122011,-6532161,9.42,7.75,324.37,4.92,73.78,15.18,250.59,galbule,red_wine,2.08,22.15,2.75,5.81,14.34,5.65,3,10,414,0.5438,0.06866161616000001,78,60
M581,SABMAR,7.43,289,1557,369,274,370117011,-6532502,9.71,9.21,443.68,5.6,99.78,17.77,343.9,galbule,red_wine,2.25,22.75,2.06,20.04,13.19,5.65,2,14,414,0.5195,0.0699192463,85,60
M648,SABMAR,10.5,391,4539,586,436,370122641,-6532049,9.13,7.99,315.94,5,68.16,13.76,247.79,galbule,red_wine,1.88,23.39,1.78,4.05,44.45,5.65,3,11,414,0.54,0.05142857142999999,60,60
M664,SABMAR,7.63,264,2191,440,289,370122391,-6532309,8.47,8.47,308.42,3.83,61.09,16.25,247.34,galbule,red_wine,1.88,23.15,2.25,7.27,43.31,5.65,3,18,414,0.501,0.06566186107,95,60
M694,SABMAR,7.56,217,3917,277,214,370123531,-653234,8.27,8.46,291.6,4.64,92.88,20.45,198.72,galbule,red_wine,1.88,19.01,3.1,20.71,14.96,5.65,3,12,414,0.51,0.06746031746,84,60
M702,SABMAR,10.9,194,1417,328,198,370124341,-6532617,8.62,8.08,315.78,5.18,71.56,14.02,244.22,galbule,red_wine,1.67,27.1,2.6,7.1,41.03,5.65,3,16,414,0.528,0.04844036697,83,60
