ind,Curruca_communis,Curruca_hortensis,Curruca_iberia,Curruca_iberiae,Curruca_melanocephala,Erithacus_rubecula,Mus_spretus,NO_ID,Sturnus_unicolor,Sylvia_atricapilla,Sylvia_borin,Turdus_merula,Troglodytes_troglodytes,Apodemus_sylvaticus,Ficedula_hypoleuca,Fringilla_coelebs,Muscicapa_striata,Phoenicurus_phoenicurus,Chloris_chloris
pang001,0.007462686567164179,0.03731343283582089,0.029850746268656716,0.007462686567164179,0.014925373134328358,0.1865671641791045,0.03731343283582089,0.11194029850746269,0.022388059701492536,0.208955223880597,0.05223880597014925,0.14925373134328357,0,0,0,0,0,0,0
pang002,0.018691588785046728,0,0.018691588785046728,0,0.018691588785046728,0.028037383177570093,0.018691588785046728,0.102803738317757,0,0.037383177570093455,0,0.07476635514018691,0,0,0,0,0,0,0
pang003,0,0.043478260869565216,0.043478260869565216,0,0.06521739130434782,0.10869565217391304,0,0.18478260869565216,0.09782608695652174,0.11956521739130435,0.010869565217391304,0.09782608695652174,0.010869565217391304,0,0,0,0,0,0
pang004,0.007462686567164179,0,0.007462686567164179,0,0.014925373134328358,0.022388059701492536,0,0.08208955223880597,0.022388059701492536,0.3283582089552239,0.022388059701492536,0.12686567164179105,0,0,0,0,0,0,0
pang005,0.009345794392523364,0.018691588785046728,0,0,0.009345794392523364,0.14953271028037382,0.1588785046728972,0.1588785046728972,0.018691588785046728,0.21495327102803738,0.06542056074766354,0.037383177570093455,0,0.028037383177570093,0.009345794392523364,0.009345794392523364,0.037383177570093455,0.009345794392523364,0
pang006,0.009345794392523364,0.028037383177570093,0,0,0.009345794392523364,0.009345794392523364,0,0.08411214953271028,0,0.34579439252336447,0.028037383177570093,0.07476635514018691,0,0,0,0,0,0,0
pang007,0,0,0,0,0.03260869565217391,0.010869565217391304,0,0.13043478260869565,0.18478260869565216,0,0,0,0,0,0,0,0,0.05434782608695652,0
pang008,0,0.018691588785046728,0,0,0.056074766355140186,0.08411214953271028,0,0.009345794392523364,0,0.018691588785046728,0,0,0,0,0,0,0,0.056074766355140186,0.009345794392523364
pang009,0.03260869565217391,0.010869565217391304,0,0,0,0,0,0.021739130434782608,0.021739130434782608,0.03260869565217391,0.010869565217391304,0.03260869565217391,0,0.010869565217391304,0,0,0,0,0
pang010,0.010869565217391304,0,0,0,0,0,0,0.07608695652173914,0,0,0,0,0,0,0,0,0,0,0
