ind,canopy_cover_m2,height_cm,crop,d1_cm,d2_cm,x,y,fruit_d1_mm,fruit_d2_mm,fruit_mass_mg,seeds_per_fruit,total_seed_weight,one_seed_weight,pulp_weight,fruit_type,fruit_color,protein,fibre,lipids,ash,seed_viability,neigh_radio,neigh_fecundity_intra,neigh_density_intra,area,se_bc_days,se_bc_area,se_per_bc_cover,se_cam_days,se_per_cam_cover
O123,5.75,386,2487,438,277,36995315,-6512945,8.7,9.24,337.86,6.04,96,15.96,241.87,galbule,red_wine,2.25,21.78,2.46,13.73,31.58,5.65,3,9,SABOJI,405,0.504,0.08765217391,88,60
O136,7.66,436,2261,448,424,36995242,-6512954,9.65,9.52,425.55,6.04,92.49,15.37,333.06,galbule,red_wine,2.45,20.95,2.28,19.56,26.51,5.65,3,9,SABOJI,405,0.5344,0.06976501305,88,60
O137,1.84,227,979,286,189,36995384,-6513063,9.16,8.99,349.62,5.14,75.57,14.71,274.06,galbule,red_wine,NA,NA,NA,NA,44.58,5.65,3,8,SABOJI,405,0.501,0.2722826087,60,60
O148,25.4,498,8263,623,598,36995586,-6513227,10.03,8.92,419.51,6.1,95.52,15.81,323.98,galbule,red_wine,2.07,19.71,1.64,4.02,14.92,5.65,4,10,SABOJI,405,0.72,0.02834645669,72,40
O231,11,386,2359,414,382,36995465,-6513606,9.4,9.9,455.87,6.42,109.16,17.05,346.71,galbule,red_wine,1.5,19.51,1.44,4.16,43.2,5.65,3,9,SABOJI,405,0.5425,0.04931818182,74,60
O241,22.6,510,1249,615,535,36995162,-6513477,9.65,9.53,418.75,5.29,83.8,15.95,334.95,galbule,red_wine,NA,NA,NA,NA,29.11,5.65,3,11,SABOJI,405,0.798,0.035309734509999996,68,40
O268,21,453,4135,535,517,36995216,-6513372,8.97,8.92,360.93,4.64,79.23,17.25,281.71,galbule,red_wine,1.49,23.42,1.8,18.24,36.53,5.65,3,10,SABOJI,405,0.6732,0.03205714286,68,40
O304,48.4,473,3485,535,505,3699556,-6513504,9.01,8.95,343.92,5.68,78.67,13.85,265.25,galbule,red_wine,2.05,24.43,1.5,4.97,34.5,5.65,3,5,SABOJI,405,0.756,0.01561983471,193,20
O314,4,240,665,248,242,36995439,-651294,9.51,9.33,404.16,5.88,105.27,17.91,298.89,galbule,red_wine,2.06,23.24,1.85,5.44,24.06,5.65,3,13,SABOJI,405,0.4884,0.12210000000000001,78,60
O334,8.11,413,2317,398,346,36995523,-6513075,8.51,8.98,321.69,5.44,78.32,14.48,243.38,galbule,red_wine,2.02,18.07,2.44,3.66,19.44,5.65,3,9,SABOJI,405,0.755,0.09309494451000001,81,60
O352,20.5,337,2982,532,368,36995052,-6513237,9.25,9.68,374.97,5.48,74.16,13.65,300.8,galbule,red_wine,3.89,25.37,1.68,4.78,21.58,5.65,3,4,SABOJI,405,0.54,0.02634146341,65,40
O384,20.3,372,3179,495,483,36995707,-6513529,9.01,9.01,406.67,6.04,94.98,15.84,311.68,galbule,red_wine,1.51,18.56,1.75,17.85,39.33,5.65,3,8,SABOJI,405,0.7656,0.037714285709999996,76,40
O463,7.62,478,708,378,327,36995695,-6513194,9.13,9.26,360.65,5.46,85.61,15.7,275.04,galbule,red_wine,2.04,21.1,1.94,11.46,17.59,5.65,3,19,SABOJI,405,0.565,0.07414698163,77,60
O488,10.9,438,1862,505,473,3699563,-6513114,8.95,8.66,332.88,5.1,82.72,16.41,250.16,galbule,red_wine,2.79,21.76,2.88,5.03,36.03,5.65,3,11,SABOJI,405,0.7495,0.06876146789,80,60
O514,22.7,454,2583,510,377,369953,-6513953,9.72,8.74,406.05,7.08,89.32,12.77,316.73,galbule,red_wine,2.8,22.78,3.3,6.48,15.37,5.65,3,11,SABOJI,405,0.618,0.0272246696,70,40
O553,26.6,451,4639,543,521,3699567,-6513045,9.01,9.36,396.72,4.76,66.71,13.99,330.01,galbule,red_wine,2.59,21.77,2.65,9.02,22.68,5.65,3,15,SABOJI,405,0.8512,0.032,75,40
O580,16.4,302,1731,452,423,36995668,-651311,8.81,8.34,329.68,5.14,77.95,15.36,251.73,galbule,red_wine,1.68,23.8,2.17,9.3,32.98,5.65,3,9,SABOJI,405,0.54,0.03292682927,176,60
O582,7.17,332,1253,521,498,36995727,-6513253,9.43,9.36,387.33,5.18,89.44,17.68,297.9,galbule,red_wine,2.06,18.23,3.27,9.91,29.3,5.65,3,10,SABOJI,405,0.5739,0.080041841,65,60
O621,15,308,2906,466,441,3699506,-6513149,9.63,9.87,426.44,5.02,93.47,18.95,332.97,galbule,red_wine,2.04,28.03,2.17,3.27,23.46,5.65,3,18,SABOJI,405,0.5817,0.03878,66,60
O626,5.98,406,1395,384,361,36995796,-6513376,8.8,9.22,317.1,4.26,69.8,16.86,247.3,galbule,red_wine,1.66,23.87,1.22,6.81,27.85,5.65,3,13,SABOJI,405,0.604,0.1010033445,64,60
O642,15.2,424,1715,473,264,36995003,-6513157,8.95,8.11,324.55,6.1,78.41,12.85,246.13,galbule,red_wine,2.23,23.92,3.06,6.81,7.82,5.65,3,13,SABOJI,405,0.5425,0.03569078947,82,60
O682,36.8,467,4289,641,605,36995912,-6513389,8.78,8.75,332.01,4.82,75.29,16.05,256.71,galbule,red_wine,2.63,22.97,2.7,7.53,14.19,5.65,2,12,SABOJI,405,0.7455,0.020258152169999998,77,40
O685,46.2,386,5126,535,482,3699526,-6513934,8,7.49,228.03,5.33,75.91,14.39,152.11,galbule,red_wine,2.05,23.54,2.9,6.93,42.83,5.65,2,17,SABOJI,405,0.57,0.01233766234,78,20
O766,28,485,1606,341,258,3699577,-6513041,9.33,9.84,373.63,4.07,80.6,20.46,293.02,galbule,red_wine,2.21,25.13,2.48,4.37,6.22,5.65,2,8,SABOJI,405,0.5416,0.01934285714,68,40
O839,1.57,403,733,408,229,3699577,-6513041,8.33,8.36,294.58,4.5,70.07,15.73,224.51,galbule,red_wine,1.86,21.17,2.27,12.69,32.21,5.65,3,13,SABOJI,405,0.528,0.33630573249999995,83,60
