ind,crop,neigh_inter,neigh_intra,se_obs_h,fruit_color,seeds_per_fruit
BRER01,316.8,Y,N,2,red,5
BRER06,429,Y,N,1.2,red,5
BRER07,2328,Y,N,2,red,5
BRER08,2079,Y,N,2,red,5
BRER09,745.2,Y,N,2,red,5
BRER10,4248,Y,N,2,red,5
BRER11,388.8,Y,N,2,red,5
BRER12,873.6,Y,N,2,red,5
BRER13,1020,Y,N,1.8,red,5
