ind,height_cm,crop,crop_ripe,n_infructescences,above_canopy_height_cm,canopy_openess,neigh_density_intra_10m,dist_nearest_fruiting_palm_m,dist_open_gap_in_50m,fruit_type,fruit_color,seeds_per_fruit,se_obs_h
L01,1300,1440,740,3,1200,1,5,2,0,drupe,black,1,5
L03,1200,3010,980,4,1200,0.9,4,4,1,drupe,black,1,5
L04,1000,350,350,1,1200,1,4,7,2,drupe,black,1,5
L06,1200,3380,2080,3,1200,0.75,4,7,1,drupe,black,1,5
L08,1200,7280,2380,5,1400,0.75,5,2,50,drupe,black,1,5
L13,1200,150,150,3,1300,0.8,0,50,50,drupe,black,1,5
L15,1200,1500,850,3,1200,0.5,0,11,15,drupe,black,1,5
L16,700,1470,680,4,1000,0.5,1,5,8,drupe,black,1,5
L23,900,640,360,2,1300,1,3,5,0,drupe,black,1,5
L26,1100,780,420,3,1300,0.1,1,5,15,drupe,black,1,5
L27,1000,490,490,1,1300,0.1,2,5,10,drupe,black,1,5
L28,1300,2350,2350,3,1500,0.5,3,8,18,drupe,black,1,5
L29,1300,860,760,3,1600,1,0,15,0,drupe,black,1,5
L30,1000,2080,980,2,1300,0.9,4,1,8,drupe,black,1,5
L33,700,75,40,2,800,0.1,0,50,10,drupe,black,1,5
