ind;Cervus_elaphus;Sus_scrofa;Oryctolagus_cuniculus;Rattus_sp;Vulpes_vulpes;Meles_meles
CHU0108;0;0;0.083;0;0;0
CHU0111;0;0;0;0;0;0
CHU096M;0.111;0.028;0.028;0.028;0.028;0.194
CHU100;0.014;0.014;0.014;0.014;0.014;0.014
CHU105M;0;0;0.333;0;0;0.083
CHU114M;0.514;0.014;0.097;0.014;0.014;0.097
EM001H;0.111;0.028;0.028;0.028;0.028;0.111
EM003H;0;0;0.083;1;0;0
EM007;0;0;0.083;0.083;0;0
EM008;0.083;0;0.083;0;0;0
EM009;0;0;0.167;0;0;0
EM013;0.167;0;0.583;0.167;0;0
EM028;0.014;0.014;0.014;0.014;0.014;0.014
EM031;0.042;0.042;0.208;0.125;0.042;0.042
EM044;0.028;0.028;0.111;0.194;0.028;0.028
EM054;0;0;0;0.167;0;0
EM060;0;0;0.25;0.167;0;0
EM062B;0.167;0;0;0.167;0;0
EM066H;0;0;0.083;0;0;0
EM083H;0.028;0.028;0.028;0.111;0.028;0.028
EM090H;0.042;0.042;0.042;0.125;0.042;0.042
EM097H;0;0;0;0;0;0
EM117H;0.208;0.042;0.208;0.042;0.042;0.042
EM123H;0.097;0.014;0.097;0.181;0.014;0.014
EM128;0.083;0;0;0.25;0;0.083
EM133;0.25;0;0;0.333;0;0
EM136;0.014;0.014;0.014;0.014;0.014;0.014
EM138;0.083;0;0;0.083;0;0
EM142;0;0;0;0.083;0;0
EM155;0.167;0;0;0;0;0
EM160;0.167;0;0.167;0;0;0
EM163;0;0;0;0.083;0;0
EM171;0.097;0.014;0.097;0.014;0.014;0.014
EM190;0.028;0.111;0.444;0.278;0.028;0.028
EM193;0.181;0.014;0.014;0.014;0.014;0.014
EM199;0;0;0.333;0.417;0;0.167
EM227;0.097;0.014;0.097;0.014;0.014;0.014
EM234;0;0;0.083;0;0;0
EM236;0;0;0;0;0;0
EM240;0.417;0;0;0;0;0.25
EM270;0;0;0;0;0;0
EM291H;0.167;0.083;0.75;0.167;0;0
EM293;0;0;0;0.083;0;0
EM297H;0.139;0.056;0.222;0.056;0.056;0.056
EM298H;0.347;0.014;0.847;0.431;0.097;0.014
EM300H;0.014;0.014;0.181;0.514;0.097;0.014
