"","Alectoris.rufa","Cettia.cetti","Chloris.chloris","Columba.palumbus","Cyanopica.cooki","Erithacus.rubecula","Fringilla.coelebs","Phoenicurus.ochruros","Phylloscopus.collybita","Streptopelia.decaocto","Sturnus.unicolor","Sylvia.atricapilla","Sylvia.melanocephala","Sylvia.undata","Turdus.merula","Turdus.philomelos"
"301",0,0,0.0358652312599681,0,0,2.96984590486912,0,0,0,0,0,0,0.394517543859649,0.954083403696407,0.0717304625199362,0
"302",0,0,0,0,0,1.75451887293993,0,0,0,0,0,0,0.332934609250399,0,0,0
"303",0,0,0.245494417862839,0,0,2.20944976076555,0,0,0,0,0,0,0.935433280170122,0.122747208931419,0,0
"304",0,0,0.244916267942584,0,0.0272129186602871,8.51704545454546,0,0,0,0,0,0.717703349282297,15.0170454545455,0.527212918660287,0,0
"305",0,0,0.0863038277511962,0,0,1.01653532226288,0,0,0,0,0,0,2.29218618069237,0,0,0
"306",0,0.104351032448378,0.208702064896755,0,0.104351032448378,4.49090462143559,0,0,0,0,0,0.104351032448378,2.71693706981318,0.104351032448378,0,0.104351032448378
"307",0,0,0.314360418342719,0,0,2.83460318962662,0,0,0,0,0,0.0523934030571199,0.733507642799678,0,0,0.0523934030571199
"308",0,0,0,0,0,4.32867587904027,0,0,1.32352941176471,0,0,0,1.00171548909186,0,0,0
"309",0,0,0.0242822966507177,0,0,0.339952153110048,0,0,0.888888888888889,0,0,0,0.49300903774588,0,0,0
"310",0,0,0,0,0,0.475412308930008,0,0,0,0,0,0,7.91202400107267,0,0,0
"311",0,0,0,0,0,0.227943148297131,0,0,0,0,0,0,2.46360119815622,0.0569857870742826,0,0.0284928935371413
"312",0,0,0.0321802091713596,0,0,0.600742308186348,0,0,0,0,0,0.0321802091713596,2.06507703644612,0,0.0160901045856798,0.0160901045856798
"313",0,0,0,0,0,1.11870987332986,0,0,0,0,0,0,3.38905320776742,0.0214869938321266,0,0
"314",0.0554773397693752,0,0.0554773397693752,0.166432019308126,0.11095467953875,2.69670532339592,0,0,0,0.0554773397693752,0,1.69811320754717,5.53815834079651,0.0554773397693752,0,0.0554773397693752
"315",0,0,0.093339367122553,0,0,9.86268542434122,0,0,0.526315789473684,0,0,0.526315789473684,5.72985473034961,0.526315789473684,0,0.526315789473684
"316",0,0,0,0,0,0.819976076555024,0,0,0,0,0,0,0.567345410716242,0,0,0
"317",0,0,0,0,0,0.270716009654063,0,0,0,0,0,0.0676790024135157,2.5606172342898,0,0,0
"318",0,0,0.178331992491285,0,0,3.3110148011661,0,0,0,0,0,0.0445829981228211,2.55964584468724,0,0.967741935483871,0.0445829981228211
"319",0,0,0.105122016626441,0,0,4.25176013926576,0,0,0,0,0,0.508474576271186,4.91791774047661,0.508474576271186,0,0
"320",0,0,0.0529497098646035,0,0,1.3295312322221,0,0,0,0,0,1.81765559221754,0.747084423711458,0,0.0264748549323017,0.0529497098646035
"321",0,0,0.633522727272727,0,0,2.84599282296651,0,0,0,0,0,0.526315789473684,2.21247009569378,0,0.0905032467532468,0
"322",0,0,0.199337121212121,0,0,5.83084585571498,0,0,0,0,0,0,0.313244047619048,0,0,0
"323",0,0,0,0,0,2.41742861917494,0,0,0,0,0,0,0.610413483575248,0,0,0
"324",0,0,0,0,0.0553675048355899,2.43440664466947,0,0,0,0,0,0,0.11073500967118,0,0,0
"325",0,0,0,0,0,1.37903913983388,0,0,0,0,0,0.0260517408123791,0.571435174650131,0,0,0
"326",0,0,0.142468568665377,0,0,1.52752680783196,0,0,0,0,0,1.10012110183583,0.379916183107673,0,0.526315789473684,0
"327",0,0,0.157317859445519,0,0,10.2701672545227,0,0,0,0,0,0.519835400310995,5.16757689536163,1.32352941176471,0.755812189479273,0
"328",0,0.0429158607350097,0.0429158607350097,0,0,0.913029575092032,0,0,0,0,0,0,0.343326885880077,0.483870967741935,0,0
"329",0,0,0,0,0,0.965479260692027,0,0,0,0,0,0,1.40992370513647,0,0,0.0434195680206318
"330",0,0,0.0256084784010316,0,0,1.24087163879091,0,0,0,0,0,0,1.11282924678575,0,0,0
"331",0,0,0.0779134429400387,0,0,0.519422952933591,0,0,0.0259711476466796,0,0,0,0.548329035031163,0.0259711476466796,0,0.0259711476466796
"332",0,0,0.264990328820116,0,0,10.923275306254,0,0,0,0,0,0.53277455405115,4.2621964324092,0.0883301096067054,1.42166344294004,0.176660219213411
"333",0,0,0.106302385557705,0,0,2.8464852495469,0.106302385557705,0,0,0,0,0.106302385557705,1.99606616508526,0,0,0
"334",0,0,0.0147078897078897,0,0,3.76146601146601,0,0,0,0,0,0,1.46570434070434,0,0,0.0294157794157794
"335",0,0,0.151208026208026,0,0,0.352818727818728,0,0,0,0,0.100805350805351,0.0504026754026754,0.352818727818728,0.0504026754026754,0,0
"336",0,0,0.0604838709677419,0,0.0604838709677419,4.17338709677419,0,0,0,0,0,0,1.69354838709677,0,0,0
"337",0,0,0.712956174649723,0,0,5.88072254806126,0,0.0548427826653633,0,0,0.109685565330727,0.483870967741935,7.04840746171391,0.967741935483871,0,0
"338",0,0,0.309796999117387,0,0,4.02623992825214,0,0,0,0,0,0.0387246248896734,1.39371280927028,0,0.0387246248896734,0.0387246248896734
"339",0,0,0.174610179464548,0,0,0.659439194918921,0,0,0,0,0,0,0.882352941176471,0,0,0
"340",0,0,0.0598337746395999,0,0,3.44514233395218,0,0,0.517241379310345,0,0,0,5.0141750616307,0.517241379310345,0,0
