"","Alectoris.rufa","Cettia.cetti","Chloris.chloris","Columba.palumbus","Cyanopica.cooki","Erithacus.rubecula","Fringilla.coelebs","Phoenicurus.ochruros","Phylloscopus.collybita","Streptopelia.decaocto","Sturnus.unicolor","Sylvia.atricapilla","Sylvia.melanocephala","Sylvia.undata","Turdus.merula","Turdus.philomelos"
"301",0,0,0.0131578947368421,0,0,0.221869328493648,0,0,0,0,0,0,0.144736842105263,0.0607985480943739,0.0263157894736842,0
"302",0,0,0,0,0,0.205535390199637,0,0,0,0,0,0,0.0657894736842105,0,0,0
"303",0,0,0.0263157894736842,0,0,0.236842105263158,0,0,0,0,0,0,0.0698729582577133,0.0131578947368421,0,0
"304",0,0,0.118421052631579,0,0.0131578947368421,0.525862068965517,0,0,0,0,0,0.122504537205082,0.75,0.0303992740471869,0,0
"305",0,0,0.0394736842105263,0,0,0.280399274047187,0,0,0,0,0,0,0.12568058076225,0,0,0
"306",0,0.0131578947368421,0.0263157894736842,0,0.0131578947368421,0.411070780399274,0,0,0,0,0,0.0131578947368421,0.187386569872958,0.0131578947368421,0,0.0131578947368421
"307",0,0,0.0789473684210526,0,0,0.244101633393829,0,0,0,0,0,0.0131578947368421,0.184210526315789,0,0,0.0131578947368421
"308",0,0,0,0,0,0.577132486388385,0,0,0.0517241379310345,0,0,0,0.17513611615245,0,0,0
"309",0,0,0.0131578947368421,0,0,0.184210526315789,0,0,0.0344827586206897,0,0,0,0.043557168784029,0,0,0
"310",0,0,0,0,0,0.197368421052632,0,0,0,0,0,0,0.42967332123412,0,0,0
"311",0,0,0,0,0,0.105263157894737,0,0,0,0,0,0,0.161070780399274,0.0263157894736842,0,0.0131578947368421
"312",0,0,0.0263157894736842,0,0,0.0961887477313975,0,0,0,0,0,0.0263157894736842,0.108439201451906,0,0.0131578947368421,0.0131578947368421
"313",0,0,0,0,0,0.179219600725953,0,0,0,0,0,0,0.304900181488203,0.0131578947368421,0,0
"314",0.0131578947368421,0,0.0131578947368421,0.0394736842105263,0.0263157894736842,0.288566243194192,0,0,0,0.0131578947368421,0,0.0517241379310345,0.26043557168784,0.0131578947368421,0,0.0131578947368421
"315",0,0,0.0131578947368421,0,0,0.706896551724138,0,0,0.0172413793103448,0,0,0.0172413793103448,0.238203266787659,0.0172413793103448,0,0.0172413793103448
"316",0,0,0,0,0,0.197368421052632,0,0,0,0,0,0,0.043557168784029,0,0,0
"317",0,0,0,0,0,0.105263157894737,0,0,0,0,0,0.0263157894736842,0.217785843920145,0,0,0
"318",0,0,0.0526315789473684,0,0,0.349364791288566,0,0,0,0,0,0.0131578947368421,0.253176043557169,0,0.0344827586206897,0.0131578947368421
"319",0,0,0.0526315789473684,0,0,0.230036297640653,0,0,0,0,0,0.0172413793103448,0.326225045372051,0.0172413793103448,0,0
"320",0,0,0.0263157894736842,0,0,0.385662431941924,0,0,0,0,0,0.0780399274047187,0.0961887477313975,0,0.0131578947368421,0.0263157894736842
"321",0,0,0.0921052631578947,0,0,0.235934664246824,0,0,0,0,0,0.0172413793103448,0.143829401088929,0,0.0131578947368421,0
"322",0,0,0.0921052631578947,0,0,0.400181488203267,0,0,0,0,0,0,0.144736842105263,0,0,0
"323",0,0,0,0,0,0.217785843920145,0,0,0,0,0,0,0.122504537205082,0,0,0
"324",0,0,0,0,0.0131578947368421,0.490925589836661,0,0,0,0,0,0,0.0263157894736842,0,0,0
"325",0,0,0,0,0,0.490925589836661,0,0,0,0,0,0.0131578947368421,0.0830308529945553,0,0,0
"326",0,0,0.0394736842105263,0,0,0.166061705989111,0,0,0,0,0,0.0476406533575318,0.105263157894737,0,0.0172413793103448,0
"327",0,0,0.0263157894736842,0,0,0.643375680580762,0,0,0,0,0,0.0303992740471869,0.242286751361162,0.0517241379310345,0.0698729582577133,0
"328",0,0.0131578947368421,0.0131578947368421,0,0,0.148820326678766,0,0,0,0,0,0,0.105263157894737,0.0172413793103448,0,0
"329",0,0,0,0,0,0.17513611615245,0,0,0,0,0,0,0.192377495462795,0,0,0.0131578947368421
"330",0,0,0.0131578947368421,0,0,0.218693284936479,0,0,0,0,0,0,0.152903811252269,0,0,0
"331",0,0,0.0394736842105263,0,0,0.263157894736842,0,0,0.0131578947368421,0,0,0,0.0698729582577133,0.0131578947368421,0,0.0131578947368421
"332",0,0,0.0394736842105263,0,0,0.598911070780399,0,0,0,0,0,0.0303992740471869,0.243194192377495,0.0131578947368421,0.0648820326678766,0.0263157894736842
"333",0,0,0.0131578947368421,0,0,0.187386569872958,0.0131578947368421,0,0,0,0,0.0131578947368421,0.0821234119782214,0,0,0
"334",0,0,0.0131578947368421,0,0,0.322141560798548,0,0,0,0,0,0,0.170145190562613,0,0,0.0263157894736842
"335",0,0,0.0394736842105263,0,0,0.0921052631578947,0,0,0,0,0.0263157894736842,0.0131578947368421,0.0921052631578947,0.0131578947368421,0,0
"336",0,0,0.0131578947368421,0,0.0131578947368421,0.291742286751361,0,0,0,0,0,0,0.104355716878403,0,0,0
"337",0,0,0.171052631578947,0,0,0.422413793103448,0,0.0131578947368421,0,0,0.0263157894736842,0.0172413793103448,0.307168784029038,0.0344827586206897,0,0
"338",0,0,0.105263157894737,0,0,0.48502722323049,0,0,0,0,0,0.0131578947368421,0.179219600725953,0,0.0131578947368421,0.0131578947368421
"339",0,0,0.0526315789473684,0,0,0.0830308529945553,0,0,0,0,0,0,0.0344827586206897,0,0,0
"340",0,0,0.0131578947368421,0,0,0.371597096188748,0,0,0.0172413793103448,0,0,0,0.234119782214156,0.0172413793103448,0,0
