# Hato Raton. Individual samples for Sylvia species. Columns are fruit species.
#
species	number	date	PLEN	OEUR	PANG	RLYC	DGNI	RULM	RPER	SASP	CMON	AACU	LPER	SNIG	MCOM	OALB	PBOU	TCOM	OPUN
SATR	NA	08-10-81	0.8	0.05	0.0	0.0	0.0	0.0	0.0	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SATR	J61841	08-10-81	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SATR	J61862	08-10-81	0.2	0.05	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SATR	J61839	08-10-81	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SATR	J64405	15-10-81	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SATR	J64403	15-10-81	10.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SATR	J64406	15-10-81	6.0	0.0	0.0	1.2	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0
SATR	J61887	15-10-81	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.0	0.0	0.0
SATR	J64407	15-10-81	2.0	0.8	0.0	0.0	0.5	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SATR	J61890	15-10-81	2.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SATR	J61891	15-10-81	4.0	0.0	0.0	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.2	0.0	0.0	0.0	0.0
SATR	NA	15-10-81	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
